FileName,NB_whistle_mean_time,nbVolume
LC_ARU5_20240707_062500.wav,690.86,-4.8
LC_ARU5_20240707_062500.wav,741.39,-4.73
LC_ARU5_20240707_062500.wav,759.59,-5.16
LC_ARU5_20240707_062500.wav,784.86,-4.84
LC_ARU5_20240707_062500.wav,796.75,-4.98
LC_ARU5_20240707_062500.wav,853.77,-5.46
LC_ARU5_20240707_062500.wav,857.68,-5.29
LC_ARU5_20240707_062500.wav,950.18,-4.88
LC_ARU5_20240707_062500.wav,975.82,-4.84
LC_ARU5_20240707_062500.wav,1019.66,-3.96
LC_ARU5_20240707_062500.wav,1077.61,-5.1
LC_ARU5_20240707_062500.wav,1192.23,-5.05
LC_ARU5_20240707_062500.wav,1241.27,-4.88
LC_ARU5_20240707_062500.wav,1260.4,-4.81
LC_ARU5_20240707_062500.wav,1274.15,-4.91
LC_ARU5_20240707_062500.wav,1296.63,-4.63
LC_ARU5_20240707_062500.wav,1412.35,-5.29
LC_ARU5_20240707_062500.wav,1446.72,-5.7
LC_ARU5_20240707_062500.wav,1478.48,-4.91
LC_ARU5_20240707_062500.wav,1607.59,-4.29
LC_ARU5_20240707_062500.wav,1694.89,-5.27
LC_ARU6_20240625_062500.wav,1253.9,-5.98
LC_ARU6_20240625_062500.wav,1559.85,-6.06
 LC_ARU7_20240625_062500.wav,48.51,-0.84
 LC_ARU7_20240625_062500.wav,64.3,-0.85
 LC_ARU7_20240625_062500.wav,98.48,-0.83
 LC_ARU7_20240625_062500.wav,113.34,-0.79
 LC_ARU7_20240625_062500.wav,203.06,-0.75
 LC_ARU7_20240625_062500.wav,218.85,-0.77
 LC_ARU7_20240625_062500.wav,390.49,-5.05
 LC_ARU7_20240625_062500.wav,716.5,-3.17
